./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.85 --threads=12 --top=10000 --time=20m
-15.2852	"/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/B"
-15.2815	"B,B,B,B,B,B,B,B,B,/"
-15.2618	"//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G"
-15.2502	"RB,RB,RB,RB,RB,RB,RB,RB,RB,G/"
-15.2455	"R,G,G,G,G,G,G,G,G,"
-15.2455	"B,G,G,G,G,G,G,G,G,"
-15.2349	"B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/B"
-15.2347	"G,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-15.224	"//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B"
-15.2127	"/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/B"
-15.2002	"R/,B/,B/,B/,B/,B/,B/,B/,B/,B"
-15.1891	"/B/B/B/B/B/B/B/B/R,B,B,B,B,B,B,B,B,B"
-15.1647	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-15.163	"/B/B/B/B/B/B/B/B/R,B,B,B,B,B,B,B,B,"
-15.1486	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/G"
-15.1486	"/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/R"
-15.1355	"/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/G"
-15.1355	"/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/R"
-15.1345	"G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,B"
-15.1255	"/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/G"
-15.1116	"G/B,B/G/B,B/G/B,B/G/B,B/G/B,B/G/B,B/G/B,B/G/B,B/G/B,B/"
-15.1061	"B,B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B"
-15.1037	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,GB"
-15.1029	"/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/R"
-15.0713	"/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G"
-15.071	"B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/"
-15.0694	"RB,GBB,GBB,GBB,GBB,GBB,GBB,GBB,GBB,GB"
-15.0582	"/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-15.0527	"/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,B"
-15.0419	"B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G/"
-15.0306	"/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/G"
-15.0261	"/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,GB"
-14.997	"/,/B,/B,/B,/B,/B,/B,/B,/B,B"
-14.9961	"B,B,RB,RB,RB,RB,RB,RB,RB,RB"
-14.9912	",B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/B/"
-14.9888	"R,/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/B"
-14.9853	"/R,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-14.9824	",/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-14.9822	"GB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
