-14.2513	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,"
-14.2388	"B,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-14.233	"R,/R,/R,/R,/R,/R,/R,/R,/R,/"
-14.2202	"R,G,G,G,G,G,G,G,G,"
-14.1096	"R/,//,//,//,//,//,//,//,//,/"
-14.0805	",R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.0739	"R,R,R,R,R,R,R,R,R,/G/G/G/G/G/G/G/G/G"
-14.0683	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-14.0672	"R/R/R/R/R/R/R/R/R/,G,G,G,G,G,G,G,G,G"
-14.0382	"R/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-14.0326	"R,R,R,R,R,R,R,R,R,B"
-13.9971	"G,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-13.9596	"/,/,/,/,/,/,/,/,/,/G"
-13.899	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-13.8626	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-13.8327	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-13.825	"R/,R/,R/,R/,R/,R/,R/,R/,R/,B"
-13.7315	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R"
-13.7315	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-13.7185	"R/,/GR/,/GR/,/GR/,/GR/,/GR/,/GR/,/GR/,/GR/,/G"
-13.6623	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/G"
-13.5801	"R/,/,/,/,/,/,/,/,/,/"
-13.562	"G,G,G,G,G,G,G,G,G,G"
-13.4989	"R/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-13.4819	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R//G,"
-13.4556	"/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
