-14.7746	"/,/G,/G,/G,/G,/G,/G,/G,/G,"
-14.7728	"R//,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G"
-14.7495	"R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,/B/G"
-14.7495	"R/B/,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G"
-14.7398	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R"
-14.7362	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,/R/G"
-14.7235	"R/G/,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-14.7047	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,/G/G"
-14.7024	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B/G"
-14.7024	"R/B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.6983	"R,/G,R/R,/G,R/R,/G,R/R,/G,/,/G"
-14.6976	"R/G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.6976	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R/G"
-14.6614	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,//G"
-14.6426	"R/R,G,R/R,G,R/R,G,R/R,G,R/,G"
-14.6393	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/G"
-14.6116	"R//G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.5812	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/G/G/G/G/G"
-14.5498	"R/,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-14.5216	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R//G"
-14.4544	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-14.4497	"R/R/R/R/R/R/R/R/R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-14.3892	"R/,/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-14.3718	"R/R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-14.3323	"R/,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.3278	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.3064	"R/,G,R/,G,R/,G,R/,G,R/,/G"
-14.2844	"/,/G,/G,/G,/G,/G,/G,/G,/G,G"
-14.2739	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.2322	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G/G/G/G/G/G/G/G/G/G"
-14.176	"RR,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.0854	"G,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.0477	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,GG"
-14.045	",/,/G,R/,/G,R/,/G,R/,/G,R//G"
-14.031	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-14.0308	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-13.9939	"R/R/R/R/,/G,R/,/G,R/R/,/G,R/,/G,R/,/G"
-13.9926	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/,/G"
-13.9924	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-13.9495	"R,/G,R,G/G,R,G/G,R,G/G,R,G/G"
-13.9185	"R,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-13.9136	",/G,/G,/G,/G,/G,/G,/G,/G,/G"
-13.9136	"R/,R/,R/,R/,R/,R/,R/,R/,R/,"
-13.8823	"/,/,/,/,/,/,/,/,/,/G"
-13.8791	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,G"
-13.8586	"R/,/,/,/,/,/,/,/,/,"
-13.845	",/,/,/,/,/,/,/,/,/G"
-13.831	"R/R/R/R/R/R/R/R/R/R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-13.775	"G,R/,/G,R/,/G,R/,/G,R/,/G,R//G"
-13.7546	",/G,R/,/G,R/,/G,R/,/G,R/,/G"
-13.7386	"R/,/G,R/,/G,R/,/G,R/,/G,R/,G"
-13.717	"R/,/,/,/,/,/,/,/,/,/G"
-13.7136	"R/,/G,R/B,B/G,R/B,B/G,R/B,B/G,R/B,B/G"
-13.6196	"R/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G/,/G"
-13.5997	"R/,/,R/,G/G,R/,G/G,R/,G/G,R/,G"
-13.5976	"R/,/G,R,/G,R,/G,R,/G,R,G"
-13.5969	"R//G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,B"
-13.5276	"R/,/R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/G"
-13.5206	"R/,G,R/G,G,R/G,G,R/G,G,R/G,G"
-13.5193	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-13.4285	"R//G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,G"
-13.3341	"R/,/,/,/,/,/,/,/,/,/"
-13.3232	"R//G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R"
-13.3082	"R/B,B/G,R/B,B/G,R/B,B/G,R/B,B/G,R/,/G"
-13.23	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-13.1949	"R/,/G,R/,/G,R/,/G/G,R/,/G,R/,/G/G/G/G"
-13.157	"R/,/G,/G,/G,/G,/G,/G,/G,/G,G"
-13.1493	"R,/G,R/R,/G,R/R,/G,R/R,/G,R/,/G"
-13.0608	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/"
-13.0341	"R/,/G,R/R,R/G,R/R,R/G,R/R,R/G,R/R,R/G"
-13.0022	"/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-12.9583	",R//G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-12.911	"R/,/G,R/,R/G,R/,R/G,R/,R/G,R/,G"
-12.911	"R/,/G,R/,B/G,R/,B/G,R/,B/G,R/,G"
-12.8077	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,//G"
-12.7591	"R/,/R,R/,/R,R/,/R,R/,/R,R/,/G"
-12.7296	"R//,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
